Date,Home,Away,Home Goals,Away Goals,Team,Minute,Player,xG,Shot Type,Result,X Coordinate,Y Coordinate,Situation,Assist Player,Last Action
2020-11-01 14:00:00,Spezia,Juventus,1,4,Spezia,24,Matteo Ricci,0.0094741340726614,RightFoot,SavedShot,0.6509999847412109,0.6719999694824219,OpenPlay,,BallRecovery
2020-11-01 14:00:00,Spezia,Juventus,1,4,Spezia,30,Matteo Ricci,0.0471528023481369,LeftFoot,MissedShots,0.805,0.5520000076293945,OpenPlay,M'Bala Nzola,Pass
2020-11-01 14:00:00,Spezia,Juventus,1,4,Spezia,31,Tommaso Pobega,0.08579225093126297,RightFoot,Goal,0.855999984741211,0.5,OpenPlay,Paolo Bartolomei,Pass
2020-11-01 14:00:00,Spezia,Juventus,1,4,Spezia,32,M'Bala Nzola,0.06313938647508621,LeftFoot,MissedShots,0.874000015258789,0.675,OpenPlay,Simone Bastoni,Pass
2020-11-01 14:00:00,Spezia,Juventus,1,4,Spezia,40,Tommaso Pobega,0.016955839470028877,LeftFoot,BlockedShot,0.7780000305175782,0.7030000305175781,OpenPlay,Diego Farias,Pass
2020-11-01 14:00:00,Spezia,Juventus,1,4,Spezia,50,Simone Bastoni,0.023723265156149864,LeftFoot,BlockedShot,0.860999984741211,0.6930000305175781,OpenPlay,Salvador Ferrer,Cross
2020-11-01 14:00:00,Spezia,Juventus,1,4,Spezia,51,Paolo Bartolomei,0.018212471157312393,RightFoot,MissedShots,0.735,0.515,OpenPlay,M'Bala Nzola,Pass
2020-11-01 14:00:00,Spezia,Juventus,1,4,Spezia,52,Paolo Bartolomei,0.04795263335108757,RightFoot,BlockedShot,0.799000015258789,0.36400001525878906,OpenPlay,M'Bala Nzola,TakeOn
2020-11-01 14:00:00,Spezia,Juventus,1,4,Spezia,59,Diego Farias,0.047000952064991,Head,MissedShots,0.9209999847412109,0.5129999923706055,OpenPlay,Paolo Bartolomei,Aerial
2020-11-01 14:00:00,Spezia,Juventus,1,4,Spezia,63,Julian Chabot,0.07816945016384125,Head,SavedShot,0.88,0.45099998474121095,FromCorner,Paolo Bartolomei,CornerAwarded
2020-11-01 14:00:00,Spezia,Juventus,1,4,Spezia,69,Paolo Bartolomei,0.041504159569740295,RightFoot,MissedShots,0.7959999847412109,0.5120000076293946,OpenPlay,M'Bala Nzola,Pass
2020-11-01 14:00:00,Spezia,Juventus,1,4,Spezia,71,Diego Farias,0.015824008733034134,RightFoot,BlockedShot,0.87,0.7319999694824219,OpenPlay,Salvador Ferrer,Cross
2020-11-01 14:00:00,Spezia,Juventus,1,4,Spezia,72,Claudio Terzi,0.011881638318300247,Head,MissedShots,0.9490000152587891,0.6509999847412109,FromCorner,Simone Bastoni,Aerial
2020-11-01 14:00:00,Spezia,Juventus,1,4,Spezia,84,Simone Bastoni,0.01617870293557644,LeftFoot,MissedShots,0.8630000305175781,0.72,OpenPlay,Salvador Ferrer,Cross
2020-11-01 14:00:00,Spezia,Juventus,1,4,Spezia,88,Ardian Ismajli,0.00904783420264721,RightFoot,BlockedShot,0.6919999694824219,0.37900001525878907,OpenPlay,Salvador Ferrer,Interception
2020-11-01 14:00:00,Spezia,Juventus,1,4,Spezia,91,Nahuel Estévez,0.014336945489048958,RightFoot,MissedShots,0.7769999694824219,0.6519999694824219,OpenPlay,M'Bala Nzola,Pass
2020-11-01 14:00:00,Spezia,Juventus,1,4,Juventus,5,Álvaro Morata,0.04989223554730415,LeftFoot,MissedShots,0.91,0.7030000305175781,OpenPlay,Paulo Dybala,Pass
2020-11-01 14:00:00,Spezia,Juventus,1,4,Juventus,13,Álvaro Morata,0.47950267791748047,RightFoot,Goal,0.960999984741211,0.585,OpenPlay,Weston McKennie,Pass
2020-11-01 14:00:00,Spezia,Juventus,1,4,Juventus,17,Federico Chiesa,0.3751987814903259,RightFoot,MissedShots,0.8640000152587891,0.43,OpenPlay,Álvaro Morata,Throughball
2020-11-01 14:00:00,Spezia,Juventus,1,4,Juventus,28,Federico Chiesa,0.13806399703025818,RightFoot,BlockedShot,0.8730000305175781,0.5840000152587891,OpenPlay,Danilo,Throughball
2020-11-01 14:00:00,Spezia,Juventus,1,4,Juventus,58,Cristiano Ronaldo,0.6783435344696045,RightFoot,Goal,0.895,0.44599998474121094,OpenPlay,Álvaro Morata,TakeOn
2020-11-01 14:00:00,Spezia,Juventus,1,4,Juventus,66,Adrien Rabiot,0.3994056284427643,RightFoot,Goal,0.9269999694824219,0.575999984741211,OpenPlay,Federico Chiesa,TakeOn
2020-11-01 14:00:00,Spezia,Juventus,1,4,Juventus,75,Cristiano Ronaldo,0.7612988352775574,RightFoot,Goal,0.885,0.5,Penalty,,Standard
